record_id,bike_id,bike_type,date,maintenance_type,cost,description
MR5179,BK238,classic,2024-08-01,brake_adjustment,57.42,Brake Adjustment for bike BK238
MR5180,BK307,electric,2024-07-14,tire_repair,43.03,Tire Repair for bike BK307
MR5181,BK329,classic,2024-06-16,tire_repair,55.45,Tire Repair for bike BK329
MR5182,BK251,electric,2024-06-08,battery_replacement,187.67,Battery Replacement for bike BK251
MR5183,BK312,classic,2024-11-09,tire_repair,94.46,Tire Repair for bike BK312
MR5184,BK243,classic,2024-06-13,general_inspection,,General Inspection for bike BK243
MR5185,BK327,electric,2024-01-25,brake_adjustment,112.85,Brake Adjustment for bike BK327
MR5186,BK280,classic,2024-07-21,brake_adjustment,21.58,Brake Adjustment for bike BK280
MR5187,BK212,electric,2024-04-20,general_inspection,96.28,General Inspection for bike BK212
MR5188,BK211,classic,2024-12-23,general_inspection,107.42,General Inspection for bike BK211
MR5189,BK323,electric,2024-09-06,general_inspection,122.52,General Inspection for bike BK323
MR5190,BK302,classic,2024-02-03,chain_lubrication,109.06,Chain Lubrication for bike BK302
MR5191,BK346,classic,2024-08-24,general_inspection,117.86,General Inspection for bike BK346
MR5192,BK315,classic,2024-02-12,chain_lubrication,43.07,Chain Lubrication for bike BK315
MR5193,BK312,classic,2024-06-27,tire_repair,101.86,Tire Repair for bike BK312
MR5194,BK226,electric,2024-05-30,general_inspection,64.02,General Inspection for bike BK226
MR5195,BK312,electric,2024-11-09,general_inspection,92.75,General Inspection for bike BK312
MR5196,BK312,classic,2024-08-02,brake_adjustment,68.13,Brake Adjustment for bike BK312
MR5197,BK317,electric,2024-12-06,battery_replacement,112.93,Battery Replacement for bike BK317
MR5198,BK327,classic,2024-09-08,tire_repair,43.94,Tire Repair for bike BK327
MR5199,BK261,electric,2024-11-19,tire_repair,36.88,Tire Repair for bike BK261
